영화제목,실관람객 평점,네티즌 평점,순위,누전 관객 수,관객단위
위키드: 포 굿,7.54,6.79,1,40,만명
나우 유 씨 미 3,7.83,7.20,2,92,만명
극장판 체인소 맨: 레제편,9.27,9.36,3,325,만명
국보,9.11,9.48,4,4.5,만명
프레데터: 죽음의 땅,8.62,9.12,5,40,만명
나혼자 프린스,7.53,7.32,6,2.8,만명
퍼스트 라이드,7.57,5.53,7,72,만명
세계의 주인,9.08,9.21,8,12,만명
극장판 귀멸의 칼날: 무한성편,9.03,9.14,9,564,만명
극장판 똘똘이: 아기공룡의 비밀,8.14,9.23,10,3.3,만명
8번 출구,8.36,7.11,11,44,만명
코렐라인,8.46,9.16,12,42,만명
엔드 오브 에반게리온,9.29,8.51,13,4,만명
가타카,9.10,9.28,14,"4,205",명
극장판 주술회전: 회옥·옥절,7.98,8.03,15,23,만명
포레스텔라 : 더 웨이브 인 시네마,10.00,9.10,16,"5,071",명
꼬마돼지 베이브와 타피티,8.86,0,17,1.9,만명
부고니아,7.90,7.83,18,6.8,만명
비정성시,8.71,8.33,19,"2,709",명
극장판 노래하는☆왕자님♪ 타부 나이트 XXXX,8.80,7.43,20,"3,406",명
맨홀,8.00,0,21,"2,729",명
제이홉 투어 ‘홉 온 더 스테이지’ 더 무비,8.83,8.62,22,"7,109",명
통잠,7.56,0,23,"2,701",명
힘,0,0,?,0,명
너와 나의 5분,8.57,9.32,25,"9,017",명
위키드,8.63,7.83,26,228,만명
로보카폴리 사막 구조대 이야기,0,0,?,0,명
사하라 전차대,0,0,?,0,명
난징사진관,8.12,6.15,29,2.9,만명
럭키 데이 인 파리,7.18,9.04,30,"4,556",명
